"Id","DisplayName","UserPrincipalName","Mail","AccountEnabled","CreatedDateTime","UserType","OnPremisesSyncEnabled","JobTitle","Department","AssignedLicenses","LicenseCount","DirectoryRoles","GroupMemberships","ManagerName","ManagerUserPrincipalName","IsMfaRegistered","IsSsprRegistered","IsSsprEnabled","IsSsprCapable","IsMfaCapable"
"347f6435-c622-4dfe-aad3-4f64a7bdb440","_CloudDemoUser01","_CloudDemoUser01@mycloudofficedev.onmicrosoft.com",,"True","02/17/2026 13:03:32","Member","False",,,"","0","","Demo_EntraID_Sync_User; mycloudofficedev","Michael Kirst-Neshva","mkn@mycloudofficedev.onmicrosoft.com","False","False","True","False","False"
"fe069dac-3173-423a-96ca-7f1c2077a74a","_CloudDemoUser02","_CloudDemoUser02@mycloudofficedev.onmicrosoft.com",,"True","02/17/2026 13:04:43","Member","False",,,"","0","","mycloudofficedev","Michael Kirst-Neshva","mkn@mycloudofficedev.onmicrosoft.com","False","False","True","False","False"
"1cd1e79b-9c64-4a67-a4d2-f958ca1750f8","Adele Vance","AdeleV@mycloudofficedev.onmicrosoft.com","AdeleV@mycloudofficedev.onmicrosoft.com","True","06/18/2024 09:52:05","Member","False","Retail Manager","Retail","DEVELOPERPACK_E5","1","","mycloudofficedev","Miriam Graham","MiriamG@mycloudofficedev.onmicrosoft.com","False","True","True","True","False"
"9a3f1669-cb8f-4d9f-85db-98d711fea9e2","On-Premises Directory Synchronization Service Account","ADToAADSyncServiceAccount@mycloudofficedev.onmicrosoft.com",,"True","02/17/2026 11:41:40","Member","True",,,"","0","Directory Synchronization Accounts","mycloudofficedev","","","False","False","True","False","False"
"85a83c5b-5119-42ff-8264-d54bdd69f3dd","Alex Wilber - Michael Kirst-Neshva","AlexW@mycloudofficedev.onmicrosoft.com","AlexW@mycloudofficedev.onmicrosoft.com","True","06/18/2024 09:52:06","Member","False","Marketing Assistant","Marketing","DEVELOPERPACK_E5","1","","Demo-Deleted-Identity-Recovery; mycloudofficedev","Miriam Graham","MiriamG@mycloudofficedev.onmicrosoft.com","True","True","True","True","True"
"acf1d8db-e2e5-4285-9f79-c2dfbaa21d63","Demo Support CIPP SA","Demo-Support-CIPP-SA@mycloudofficedev.onmicrosoft.com","Demo-Support-CIPP-SA@mycloudofficedev.onmicrosoft.com","True","02/24/2026 10:42:40","Member","False",,,"DEVELOPERPACK_E5","1","Teams Administrator; Usage Summary Reports Reader; Hybrid Identity Administrator; Security Administrator; Skype for Business Administrator; Printer Administrator; Billing Administrator; Guest Inviter; SharePoint Administrator; Office Apps Administrator; AI Administrator; Security Operator; Application Developer; Search Administrator; Conditional Access Administrator; SharePoint Embedded Administrator; Message Center Reader; Windows 365 Administrator; Teams Devices Administrator; Authentication Administrator; User Administrator; Windows Update Deployment Administrator; Cloud App Security Administrator; Exchange Administrator; Attribute Assignment Administrator; Intune Administrator; Compliance Data Administrator; Edge Administrator; Identity Governance Administrator; Security Reader; Privileged Role Administrator; Cloud Application Administrator; SharePoint Advanced Management Administrator; Authentication Policy Administrator; Reports Reader; Teams Telephony Administrator; Organizational Branding Administrator; Message Center Privacy Reader; Compliance Administrator; Cloud Device Administrator; Password Administrator; Azure Information Protection Administrator; Service Support Administrator; License Administrator; Application Administrator; Global Reader; Helpdesk Administrator; Privileged Authentication Administrator; Groups Administrator","MyCloudOfficeDEV GOV02","","","True","True","True","True","True"
"5fe66bff-565f-4788-a804-b67efc21410c","Demo Support Tier0","demo-support-Tier0@mycloudofficedev.onmicrosoft.com","demo-support-Tier0@mycloudofficedev.onmicrosoft.com","True","02/24/2026 09:13:30","Member","False",,"Support","DEVELOPERPACK_E5","1","","M365 GDAP Custom f3ffabf7 Finance; MyCloudOfficeDEV GOV02","Michael Kirst-Neshva","mkn@mycloudofficedev.onmicrosoft.com","True","True","True","True","True"
"880da1ed-4ca6-4e67-8363-9b1fd356c96c","Demo OnPrem User 02","demoonpremuser02@mycloudofficedev.onmicrosoft.com",,"True","02/17/2026 14:00:31","Member","True",,,"","0","","Demo OnPrem Gruppe 02","","","False","False","True","False","False"
"4aaad875-58ba-44e7-b738-da6024c7adf8","Demo OnPrem User 03","demoonpremuser03@mycloudofficedev.onmicrosoft.com",,"True","02/17/2026 14:21:55","Member","True",,,"","0","","","","","False","False","True","False","False"
"bfe3bf73-016e-4246-9b87-1a154ff9ae5e","Demo OnPrem User 04","demoonpremuser04@mycloudofficedev.onmicrosoft.com",,"True","02/17/2026 21:10:06","Member","True",,,"","0","","Demo OnPrem Gruppe 02","","","False","False","True","False","False"
"30afdec0-dee2-4cc6-98f0-1abeda447141","Diego Siciliani","DiegoS@mycloudofficedev.onmicrosoft.com","DiegoS@mycloudofficedev.onmicrosoft.com","True","06/18/2024 09:52:07","Member","False","HR Manager","HR","DEVELOPERPACK_E5","1","","mycloudofficedev","Nestor Wilke","NestorW@mycloudofficedev.onmicrosoft.com","False","True","True","True","False"
"f11c283b-04f4-45a6-90d1-fb7a01ea3ec1","Grady Archie","GradyA@mycloudofficedev.onmicrosoft.com","GradyA@mycloudofficedev.onmicrosoft.com","True","06/18/2024 09:52:09","Member","False","Designer","R&D","DEVELOPERPACK_E5","1","","mycloudofficedev","Lee Gu","LeeG@mycloudofficedev.onmicrosoft.com","False","True","True","True","False"
"bd8b0c09-7b0b-4857-917e-7abb9a3e3787","Henrietta Mueller","HenriettaM@mycloudofficedev.onmicrosoft.com","HenriettaM@mycloudofficedev.onmicrosoft.com","True","06/18/2024 09:52:10","Member","False","Developer","R&D","DEVELOPERPACK_E5","1","","mycloudofficedev","Lee Gu","LeeG@mycloudofficedev.onmicrosoft.com","False","True","True","True","False"
"4728a9b7-7eab-4057-ae12-c2679627908f","Isaiah Langer","IsaiahL@mycloudofficedev.onmicrosoft.com","IsaiahL@mycloudofficedev.onmicrosoft.com","True","06/18/2024 09:52:10","Member","False","Sales Rep","Sales","DEVELOPERPACK_E5","1","","mycloudofficedev","Miriam Graham","MiriamG@mycloudofficedev.onmicrosoft.com","False","True","True","True","False"
"ee8609c3-8f81-43dd-951b-020fa5e9482c","Johanna Lorenz","JohannaL@mycloudofficedev.onmicrosoft.com","JohannaL@mycloudofficedev.onmicrosoft.com","True","06/18/2024 09:52:11","Member","False","Senior Engineer","Engineering","DEVELOPERPACK_E5","1","","mycloudofficedev","Lee Gu","LeeG@mycloudofficedev.onmicrosoft.com","False","True","True","True","False"
"a453b18d-80c5-49d7-9e0e-251799fe3829","Joni Sherman","JoniS@mycloudofficedev.onmicrosoft.com","JoniS@mycloudofficedev.onmicrosoft.com","True","06/18/2024 09:52:13","Member","False","Paralegal","Legal","DEVELOPERPACK_E5","1","","mycloudofficedev","Nestor Wilke","NestorW@mycloudofficedev.onmicrosoft.com","False","True","True","True","False"
