"MailboxAddress","DisplayName","MailboxType","ProhibitSendReceiveQuota","ProhibitSendQuota","UseDatabaseQuotaDefaults","FullAccessPermissions","SendAsPermissions","SendOnBehalfPermissions","ForwardingAddress","DeliverToMailboxAndForward","HasForwardingRules","ForwardingRuleDetails"
"AdeleV@mycloudofficedev.onmicrosoft.com","Adele Vance","UserMailbox","100 GB (107,374,182,400 bytes)","99 GB (106,300,440,576 bytes)","False","","","","","False","False",""
"AlexW@mycloudofficedev.onmicrosoft.com","Alex Wilber - Michael Kirst-Neshva","UserMailbox","100 GB (107,374,182,400 bytes)","99 GB (106,300,440,576 bytes)","False","","","","","False","False",""
"Demo-Support-CIPP-SA@mycloudofficedev.onmicrosoft.com","Demo Support CIPP SA","UserMailbox","100 GB (107,374,182,400 bytes)","99 GB (106,300,440,576 bytes)","False","","","","","False","False",""
"demo-support-Tier0@mycloudofficedev.onmicrosoft.com","Demo Support Tier0","UserMailbox","100 GB (107,374,182,400 bytes)","99 GB (106,300,440,576 bytes)","False","","","","","False","False",""
"DiegoS@mycloudofficedev.onmicrosoft.com","Diego Siciliani","UserMailbox","100 GB (107,374,182,400 bytes)","99 GB (106,300,440,576 bytes)","False","","","","","False","False",""
"DiscoverySearchMailbox{D919BA05-46A6-415f-80AD-7E09334BB852}@mycloudofficedev.onmicrosoft.com","Discovery Search Mailbox","DiscoveryMailbox","50 GB (53,687,091,200 bytes)","50 GB (53,687,091,200 bytes)","False","Discovery Management:(FullAccess)","","","","False","False",""
"GradyA@mycloudofficedev.onmicrosoft.com","Grady Archie","UserMailbox","100 GB (107,374,182,400 bytes)","99 GB (106,300,440,576 bytes)","False","","","","","False","False",""
"HenriettaM@mycloudofficedev.onmicrosoft.com","Henrietta Mueller","UserMailbox","100 GB (107,374,182,400 bytes)","99 GB (106,300,440,576 bytes)","False","","","","","False","False",""
"IsaiahL@mycloudofficedev.onmicrosoft.com","Isaiah Langer","UserMailbox","100 GB (107,374,182,400 bytes)","99 GB (106,300,440,576 bytes)","False","","","","","False","False",""
"JohannaL@mycloudofficedev.onmicrosoft.com","Johanna Lorenz","UserMailbox","100 GB (107,374,182,400 bytes)","99 GB (106,300,440,576 bytes)","False","","","","","False","False",""
"JoniS@mycloudofficedev.onmicrosoft.com","Joni Sherman","UserMailbox","100 GB (107,374,182,400 bytes)","99 GB (106,300,440,576 bytes)","False","","","","","False","False",""
"LeeG@mycloudofficedev.onmicrosoft.com","Lee Gu","UserMailbox","100 GB (107,374,182,400 bytes)","99 GB (106,300,440,576 bytes)","False","","","","","False","False",""
"LidiaH@mycloudofficedev.onmicrosoft.com","Lidia Holloway","UserMailbox","100 GB (107,374,182,400 bytes)","99 GB (106,300,440,576 bytes)","False","","","","","False","False",""
"LynneR@mycloudofficedev.onmicrosoft.com","Lynne Robbins","UserMailbox","100 GB (107,374,182,400 bytes)","99 GB (106,300,440,576 bytes)","False","","","","","False","False",""
"MeganB@mycloudofficedev.onmicrosoft.com","Megan Bowen","UserMailbox","100 GB (107,374,182,400 bytes)","99 GB (106,300,440,576 bytes)","False","","","","","False","False",""
"mkn@mycloudofficedev.onmicrosoft.com","Michael Kirst-Neshva","UserMailbox","100 GB (107,374,182,400 bytes)","99 GB (106,300,440,576 bytes)","False","","","","","False","False",""
"MiriamG@mycloudofficedev.onmicrosoft.com","Miriam Graham","UserMailbox","100 GB (107,374,182,400 bytes)","99 GB (106,300,440,576 bytes)","False","","","","","False","False",""
"NestorW@mycloudofficedev.onmicrosoft.com","Nestor Wilke","UserMailbox","100 GB (107,374,182,400 bytes)","99 GB (106,300,440,576 bytes)","False","","","","","False","False",""
"PattiF@mycloudofficedev.onmicrosoft.com","Patti Fernandez","UserMailbox","100 GB (107,374,182,400 bytes)","99 GB (106,300,440,576 bytes)","False","","","","","False","False",""
"PradeepG@mycloudofficedev.onmicrosoft.com","Pradeep Gupta","UserMailbox","100 GB (107,374,182,400 bytes)","99 GB (106,300,440,576 bytes)","False","","","","","False","False",""
"TestMailbox@mycloudofficedev.onmicrosoft.com","TestMailbox","SharedMailbox","50 GB (53,687,091,200 bytes)","49.5 GB (53,150,220,288 bytes)","False","","","","","False","False",""
